Address,Type,Datetime,Latitude,Longitude
13030 Linden Ave N,Auto Fire Alarm,2025 Dec 29 02:40:00 AM,47.723429,-122.348165
224 Pontius Ave N,Auto Fire Alarm,2025 Dec 29 01:57:00 AM,47.619935,-122.331699
3621 33rd Ave S,Auto Fire Alarm,2025 Dec 29 01:10:00 AM,47.571408,-122.291001
700 Seneca St,Dumpster Fire,2025 Dec 28 11:15:00 PM,47.609015,-122.330631
1718 Melrose Ave,Auto Fire Alarm,2025 Dec 28 10:45:00 PM,47.617193,-122.327873
1212 Queen Anne Ave N,Auto Fire Alarm,2025 Dec 28 10:36:00 PM,47.62967,-122.356621
7906 AURORA AVE N,Illegal Burn,2025 Dec 28 09:19:00 PM,47.686263,-122.3445
1502 E Yesler Way,Auto Fire Alarm,2025 Dec 28 08:41:00 PM,47.601686,-122.31285
9801 AURORA AVE N,Illegal Burn,2025 Dec 28 08:28:00 PM,47.700525,-122.34464
1215 QUEEN ANNE AVE N,Rubbish Fire,2025 Dec 28 07:46:00 PM,47.629697,-122.35662
12th Ave / E Alder St,Illegal Burn,2025 Dec 28 07:31:00 PM,47.60419,-122.316781
711 E Union St,Rubbish Fire,2025 Dec 28 07:15:00 PM,47.612987,-122.322823
1102 8th Ave,Auto Fire Alarm,2025 Dec 28 07:06:00 PM,47.608665,-122.329131
533 3rd Ave W,Auto Fire Alarm,2025 Dec 28 06:44:00 PM,47.623717,-122.360635
4548 Brooklyn Ave Ne,Rubbish Fire,2025 Dec 28 05:32:00 PM,47.66171,-122.314275
N 44th St / Aurora Ave N,Rubbish Fire,2025 Dec 28 05:25:00 PM,47.660036,-122.347386
S Spokane St / 2nd Ave S,Illegal Burn,2025 Dec 28 04:58:00 PM,47.571406,-122.332007
9020 20th Ave Sw,Illegal Burn,2025 Dec 28 04:45:00 PM,47.522276,-122.359149
96 S Main St,Rubbish Fire,2025 Dec 28 04:08:00 PM,47.600044,-122.334262
Seneca St / Hubbell Pl,Illegal Burn,2025 Dec 28 04:05:00 PM,47.609015,-122.330631
1531 Western Ave,Auto Fire Alarm,2025 Dec 28 03:43:00 PM,47.608661,-122.341402
5000 East Marginal Way S,Auto Fire Alarm,2025 Dec 28 02:36:00 PM,47.557413,-122.339111
321 10th Ave S,Illegal Burn,2025 Dec 28 01:14:00 PM,47.59965,-122.319633
96 S Main St,Illegal Burn,2025 Dec 28 12:18:00 PM,47.600044,-122.334262
4336 Roosevelt Way Ne,Rubbish Fire,2025 Dec 28 11:13:00 AM,47.660016,-122.317738
100 Taylor Ave N,Auto Fire Alarm,2025 Dec 28 10:35:00 AM,47.618566,-122.346316
2nd Ave / Lenora St,Illegal Burn,2025 Dec 28 08:43:00 AM,47.612502,-122.343053
6th Ave Ne / Ne 40th St,Rubbish Fire,2025 Dec 28 07:44:00 AM,47.655517,-122.322692
1st Ave / Pike St,Illegal Burn,2025 Dec 28 06:36:00 AM,47.608821,-122.340013
John St / Minor Ave N,Car Fire,2025 Dec 28 06:10:00 AM,47.619662,-122.33298
4801 24th Ave Ne,Auto Fire Alarm,2025 Dec 28 04:31:00 AM,47.66378,-122.301734
12th Ave S / S Jackson St,Illegal Burn,2025 Dec 27 11:47:00 PM,47.599187,-122.317225
721 Pine St,Auto Fire Alarm,2025 Dec 27 11:34:00 PM,47.612701,-122.334021
954 E Union St,Auto Fire Alarm,2025 Dec 27 11:15:00 PM,47.612943,-122.319822
110 Boren Ave N,Auto Fire Alarm,2025 Dec 27 09:35:00 PM,47.618632,-122.335875
1911 22nd Ave S,Auto Fire Alarm,2025 Dec 27 09:32:00 PM,47.586234,-122.304237
1010 12th Ave S,Auto Fire Alarm,2025 Dec 27 08:49:00 PM,47.593203,-122.317281
4545 Thackeray Pl Ne,Chimney Fire,2025 Dec 27 08:43:00 PM,47.661753,-122.326173
400 S Jackson St,Rubbish Fire,2025 Dec 27 07:10:00 PM,47.599197,-122.328968
N Northgate Way / Midvale Ave N,Illegal Burn,2025 Dec 27 07:07:00 PM,47.705049,-122.343329
1605 Boylston Ave,Auto Fire Alarm,2025 Dec 27 07:02:00 PM,47.615277,-122.323416
12th Ave S / S Charles St,Illegal Burn,2025 Dec 27 06:28:00 PM,47.593834,-122.317281
800 Jefferson St,Auto Fire Alarm,2025 Dec 27 05:12:00 PM,47.604315,-122.32531
707 Terry Ave,Auto Fire Alarm,2025 Dec 27 05:11:00 PM,47.606777,-122.324334
2317 California Ave Sw,Auto Fire Alarm,2025 Dec 27 05:08:00 PM,47.582892,-122.386483
Roosevelt Way Ne / Ne 45th St,Rubbish Fire,2025 Dec 27 04:47:00 PM,47.661299,-122.317638
5019 ROOSEVELT WAY NE,Rubbish Fire,2025 Dec 27 04:19:00 PM,47.665073,-122.317402
1100 5th Ave,Auto Fire Alarm,2025 Dec 27 03:44:00 PM,47.607266,-122.332451
924 N 143rd St,Auto Fire Alarm,2025 Dec 27 03:20:00 PM,47.732314,-122.346635
2715 25th Ave S,Auto Fire Alarm,2025 Dec 27 03:17:00 PM,47.579039,-122.300283
699 John St,Auto Fire Alarm,2025 Dec 27 01:18:00 PM,47.619719,-122.34368
698 Seneca St,Illegal Burn,2025 Dec 27 12:42:00 PM,47.609015,-122.330631
2707 Rainier Ave S,Rubbish Fire,2025 Dec 27 12:30:00 PM,47.579152,-122.298763
2445 Nw 57th St,Auto Fire Alarm,2025 Dec 27 12:10:00 PM,47.670187,-122.388155
2550 S EDDY ST,Illegal Burn,2025 Dec 27 11:40:00 AM,47.54539,-122.299505
1601 13th Ave,Auto Fire Alarm,2025 Dec 27 11:01:00 AM,47.615273,-122.315549
2401 S Jackson St,Auto Fire Alarm,2025 Dec 27 10:57:00 AM,47.599288,-122.301125
420 Valley St,Auto Fire Alarm,2025 Dec 27 10:39:00 AM,47.626285,-122.348596
35th Ave Sw / Sw Alaska St,Rubbish Fire,2025 Dec 27 08:14:00 AM,47.561066,-122.376216
S Jackson St / Boren Ave S,Rubbish Fire,2025 Dec 27 07:58:00 AM,47.59921,-122.314137
1212 S MAIN ST,Illegal Burn,2025 Dec 27 07:56:00 AM,47.600012,-122.316661
N 55th St / Keystone Pl N,Rubbish Fire,2025 Dec 27 07:36:00 AM,47.66868,-122.332989
937 N 96th St,Auto Fire Alarm,2025 Dec 27 07:31:00 AM,47.698721,-122.34681
Denny Way / Stewart St,Illegal Burn,2025 Dec 27 06:48:00 AM,47.618492,-122.330723
2622 California Ave Sw,Dumpster Fire,2025 Dec 27 06:47:00 AM,47.580763,-122.386563
1334 Terry Ave,Auto Fire Alarm,2025 Dec 27 02:13:00 AM,47.611348,-122.328514
916 E Pike St,Auto Fire Alarm,2025 Dec 27 01:24:00 AM,47.614077,-122.320562
1814 Minor Ave,Auto Fire Alarm,2025 Dec 27 12:28:00 AM,47.616942,-122.330731
S Holgate St / 3rd Ave S,Illegal Burn,2025 Dec 26 11:49:00 PM,47.58617,-122.329979
901 6th Ave,Auto Fire Alarm,2025 Dec 26 11:28:00 PM,47.606302,-122.330039
112 BELLEVUE AVE E,Illegal Burn,2025 Dec 26 09:53:00 PM,47.618872,-122.326725
151 12th Ave,Illegal Burn,2025 Dec 26 09:40:00 PM,47.602686,-122.316782
6620 ROOSEVELT WAY NE,Auto Fire Alarm,2025 Dec 26 09:37:00 PM,47.676695,-122.317375
11755 Corliss Ave N,Illegal Burn,2025 Dec 26 09:25:00 PM,47.71442,-122.33143
1911 Aurora Ave N,Illegal Burn,2025 Dec 26 08:56:00 PM,47.640453,-122.346334
75 Vine St,Auto Fire Alarm,2025 Dec 26 08:34:00 PM,47.614585,-122.350542
700 Seneca St,Rubbish Fire,2025 Dec 26 08:28:00 PM,47.609015,-122.330631
409 8th Ave S,Auto Fire Alarm,2025 Dec 26 07:46:00 PM,47.599109,-122.322445
655 Crockett St,Auto Fire Alarm,2025 Dec 26 07:23:00 PM,47.637511,-122.343689
E Denny Way / E Olive Way,Brush Fire,2025 Dec 26 07:07:00 PM,47.618489,-122.325633
1821 Boren Ave,Auto Fire Alarm,2025 Dec 26 06:09:00 PM,47.616329,-122.331683
11201 Roosevelt Way Ne,Auto Fire Alarm,2025 Dec 26 05:55:00 PM,47.710279,-122.317673
1920 4th Ave,Auto Fire Alarm,2025 Dec 26 05:35:00 PM,47.612443,-122.338984
220 10th Ave,Auto Fire Alarm,2025 Dec 26 05:25:00 PM,47.603682,-122.319409
14100 Linden Ave N,Dumpster Fire,2025 Dec 26 05:14:00 PM,47.73104,-122.347764
3421 30th Ave Sw,Fire in Building,2025 Dec 26 04:36:00 PM,47.572752,-122.371373
Sw Admiral Way / Sw Olga St,Illegal Burn,2025 Dec 26 03:54:00 PM,47.580275,-122.376707
101 Taylor Ave N,Auto Fire Alarm,2025 Dec 26 03:28:00 PM,47.618566,-122.346316
75 Vine St,Auto Fire Alarm,2025 Dec 26 02:58:00 PM,47.614585,-122.350542
4700 12th Ave Ne,Auto Fire Alarm,2025 Dec 26 02:03:00 PM,47.663106,-122.315263
417 8th Ave S,Auto Fire Alarm,2025 Dec 26 12:37:00 PM,47.599041,-122.322446
4720 Rainier Ave S,Auto Fire Alarm,2025 Dec 26 12:24:00 PM,47.560482,-122.286803
1900 S Waite St,Illegal Burn,2025 Dec 26 09:05:00 AM,47.580273,-122.308736
26th Ave S / S Forest St,Illegal Burn,2025 Dec 26 08:34:00 AM,47.577527,-122.299272
12th Ave S / S Main St,Illegal Burn,2025 Dec 26 08:16:00 AM,47.600015,-122.31723
Rainier Ave S / S Rose St,Illegal Burn,2025 Dec 26 07:51:00 AM,47.52913,-122.269987
4435 35th Ave Sw,Dumpster Fire,2025 Dec 26 04:27:00 AM,47.563869,-122.376191
509 3rd Ave,Auto Fire Alarm,2025 Dec 26 02:18:00 AM,47.602114,-122.330809
3rd Ave / Bell St,Illegal Burn,2025 Dec 26 01:41:00 AM,47.614705,-122.344794
151 12th Ave,Rubbish Fire,2025 Dec 26 01:03:00 AM,47.602686,-122.316782
619 3rd Ave,Auto Fire Alarm,2025 Dec 26 12:56:00 AM,47.6029,-122.331529
1550 Nw Market St,Rubbish Fire,2025 Dec 26 12:36:00 AM,47.668671,-122.377632
924 N 143rd St,Auto Fire Alarm,2025 Dec 25 09:32:00 PM,47.732314,-122.346635
1701 Nw 56th St,Rubbish Fire,2025 Dec 25 06:25:00 PM,47.669446,-122.378884
1000 8th Ave,Auto Fire Alarm,2025 Dec 25 05:57:00 PM,47.607945,-122.328471
11521 26TH AVE NE,Fire in Building,2025 Dec 25 05:53:00 PM,47.712261,-122.300347
5509 Lake Washington Blvd S,Rubbish Fire,2025 Dec 25 05:35:00 PM,47.552046,-122.260067
1415 2nd Ave,Auto Fire Alarm,2025 Dec 25 05:28:00 PM,47.608434,-122.338125
917 E Yesler Way,Rubbish Fire,2025 Dec 25 05:24:00 PM,47.6017,-122.320537
13215 39th Ave Ne,Auto Fire Alarm,2025 Dec 25 05:03:00 PM,47.724448,-122.286397
131 10th Ave E,Rubbish Fire,2025 Dec 25 04:31:00 PM,47.619107,-122.319527
1010 12th Ave S,Auto Fire Alarm,2025 Dec 25 04:23:00 PM,47.593203,-122.317281
14396 30th Ave Ne,Auto Fire Alarm,2025 Dec 25 03:31:00 PM,47.732881,-122.296531
925 Seneca St,Auto Fire Alarm,2025 Dec 25 03:27:00 PM,47.609955,-122.328383
65 S Washington St,Auto Fire Alarm,2025 Dec 25 02:54:00 PM,47.600886,-122.335349
97 S Main St,Illegal Burn,2025 Dec 25 02:26:00 PM,47.600044,-122.334219
1911 22nd Ave S,Auto Fire Alarm,2025 Dec 25 02:02:00 PM,47.586234,-122.304237
