OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Year,Tract Median Apartment Contract Rent per Square Foot,Tract Median Apartment Contract Rent per Unit,Year over Year Change in Rent per Square Foot,Year over Year Change in Rent per Unit,Cost Category,Year over Year Change in Rent Category,Mixed-Rate or Mixed-Income Apartment in Tract,Level of Concern,PROPERTIES,Shape__Area,Shape__Length
155,53033004703,47.03,Census Tract 47.03,Ballard,10.4,2001,1.94,1083,0.054347826,0.051456311,Medium,Stable,414,,51,13030918.14,18718.85939
156,53033001000,10,Census Tract 10,Cedar Park/Meadowbrook,8.3,2001,1.01,770,0.041237113,0.039136302,Low,Stable,122,,5,10270271.69,13147.0306
157,53033000403,4.03,Census Tract 4.03,Broadview/Bitter Lake,9.1,2001,1.21,918,0.043103448,0.046750285,Low,Stable,409,,11,7881185.923,14097.02669
158,53033003201,32.01,Census Tract 32.01,Sunset Hill/Loyal Heights,10.3,2001,2.15,1380,0.053921569,0.051829268,High,Stable,608,,26,11927788.62,32094.50339
159,53033004600,46,Census Tract 46,Green Lake,9.4,2001,1.52,957,0.048275862,0.050493963,Low,Stable,65,,7,27829368.76,25514.224
160,53033004702,47.02,Census Tract 47.02,Ballard,10.4,2001,2.14,1287,0.049019608,0.052330335,High,Stable,403,,36,2867507.734,6956.449675
161,53033002700,27,Census Tract 27,Green Lake,9.4,2001,1.36,993,0.054263566,0.05190678,Low,Stable,257,,21,17058079.28,21942.83528
162,53033001800,18,Census Tract 18,Licton Springs,9.2,2001,1.44,1008,0.051094891,0.053291536,Low,Stable,562,,54,10182882.27,13946.10003
163,53033005202,52.02,Census Tract 52.02,Wallingford,11.2,2001,1.97,1143,0.053475936,0.051517939,Medium,Stable,710,,40,2865193.636,7845.303217
164,53033005303,53.03,Census Tract 53.03,University District,7.2,2001,0,0,0,0,,,0,,0,24349784.49,33904.62137
165,53033004402,44.02,Census Tract 44.02,University District,7.2,2001,2.06,1032,0.056410256,0.053061224,Medium,Stable,851,,55,3175021.433,7487.979857
166,53033004401,44.01,Census Tract 44.01,University District,7.2,2001,2.22,1019,0.052132701,0.05268595,Medium,Stable,324,,28,7479571.761,12948.97514
167,53033005307,53.07,Census Tract 53.07,University District,7.2,2001,2.23,944,0.051886792,0.052396878,Medium,Stable,345,,18,1399526.48,4758.85069
168,53033004101,41.01,Census Tract 41.01,Laurelhurst/Sand Point,7.5,2001,1.42,928,0.059701493,0.054545455,Low,Stable,63,,2,16716852.66,24230.15794
169,53033005402,54.02,Census Tract 54.02,Fremont,11.1,2001,2.16,1333,0.048543689,0.052091555,High,Stable,367,,39,4993141.865,10063.79785
170,53033007700,77,Census Tract 77,Central Area/Squire Park,5.3,2001,2.34,1047,0.054054054,0.05331992,Medium,Stable,253,,18,11391208.22,15242.20976
