"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Not Specified","Male","Seattle City Light","38","87.02","R","Active"
"Two or More Races","Female","Construction and Inspections","36","55.19","R","Active"
"Black or African American","Female","Parks and Recreation Department","26","31.64","R","Active"
"White","Female","Seattle Department of Transportation","57","75.91","R","Active"
"Asian","Male","Seattle Police Department","32","46.91","R","Active"
"White","Male","Seattle Department of Transportation","46","63.34","R","Active"
"Black or African American","Female","Seattle Public Utilities","46","68.03","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","Seattle Public Utilities","34","39.18","R","Active"
"White","Male","Seattle Police Department","41","88.40","R","Active"
"White","Female","Seattle Center","68","34.32","R","Active"
"Asian","Female","Seattle Public Utilities","53","70.35","R","Active"
"Two or More Races","Male","Law Department","42","76.02","R","Active"
"White","Male","Seattle Public Utilities","56","64.30","R","Active"
"White","Male","Finance and Administrative Service","48","54.46","R","Active"
"White","Male","Seattle Public Utilities","32","58.51","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","46","100.13","R","Active"
"White","Female","Finance and Administrative Service","39","82.28","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","64","44.63","R","Active"
"White","Male","Parks and Recreation Department","39","37.95","R","Active"
"Asian","Male","Human Services","59","55.19","R","Active"
"Asian","Male","Seattle Department of Transportation","59","40.62","R","Active"
"Black or African American","Male","Seattle Department of Transportation","41","51.24","R","Active"
"Asian","Male","Seattle Police Department","55","37.18","R","Active"
"Two or More Races","Male","Seattle City Light","45","77.36","R","Active"
"White","Female","Finance and Administrative Service","51","54.46","R","Active"
"White","Male","Seattle Public Utilities","62","65.54","R","Active"
"White","Male","Seattle Police Department","48","70.46","R","Active"
"White","Male","Seattle Fire Department","36","48.88","R","Active"
"White","Female","Construction and Inspections","47","57.31","R","Active"
"White","Female","Construction and Inspections","50","78.76","R","Active"
"Black or African American","Female","Seattle Public Library","45","30.51","R","Active"
"American Indian or Alaska Native","Female","Neighborhoods","65","45.40","R","Active"
"White","Male","Finance and Administrative Service","61","68.71","R","Active"
"Asian","Male","Seattle Department of Transportation","48","87.31","R","Active"
"White","Male","Seattle City Light","49","87.02","R","Active"
"White","Male","Office of Economic Development and Special Events Office","44","113.96","R","Active"
"White","Female","Finance and Administrative Service","61","79.34","R","Active"
"White","Male","Seattle Police Department","41","76.46","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","43","38.84","R","Active"
"White","Male","Seattle Police Department","39","67.15","R","Active"
"White","Male","Seattle Center","36","45.05","T","Active"
"White","Male","Seattle Police Department","44","76.46","R","Active"
"White","Male","Information Technology","41","74.49","R","Active"
"Black or African American","Female","Seattle City Light","43","39.18","R","Active"
"White","Female","Seattle Public Utilities","56","94.12","R","Active"
"Black or African American","Male","Seattle Fire Department","32","51.46","R","Active"
"Two or More Races","Male","Seattle Police Department","55","104.25","R","Active"
"White","Female","Community Safety and Communication Center","59","70.24","R","Leave with Pay"
"White","Female","Seattle Police Department","52","65.54","R","Active"
"White","Male","Seattle Center","30","51.24","R","Active"
"White","Male","Seattle City Light","65","92.07","R","Leave with Pay"
"Asian","Female","Neighborhoods","63","43.09","R","Active"
"Black or African American","Male","Parks and Recreation Department","47","31.97","R","Active"
"White","Male","Seattle Fire Department","54","55.06","R","Active"
"Asian","Female","Seattle Public Library","45","35.72","R","Active"
"White","Female","Finance and Administrative Service","62","80.27","R","Active"
"Asian","Male","Parks and Recreation Department","24","36.03","T","Active"
"White","Male","Seattle Fire Department","30","51.46","R","Active"
"Two or More Races","Male","Seattle Police Department","39","74.98","R","Active"
"Asian","Female","Human Services","42","79.77","R","Active"
"White","Male","Information Technology","76","76.24","R","Active"
"White","Male","Seattle Fire Department","27","54.03","R","Active"
"White","Male","Seattle Public Utilities","48","44.08","R","Leave with Pay"
"Asian","Female","Human Services","58","55.19","R","Active"
"American Indian or Alaska Native","Female","Parks and Recreation Department","49","42.25","R","Active"
"White","Male","Law Department","56","101.88","R","Active"
"White","Female","Seattle City Light","30","72.73","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","34","72.34","R","Active"
"White","Male","Information Technology","40","58.51","R","Leave with Pay"
"Asian","Male","Seattle City Light","36","55.49","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","36","55.19","R","Active"
"White","Female","Seattle Police Department","43","79.54","R","Active"
"White","Female","Parks and Recreation Department","51","59.61","R","Active"
"White","Male","Seattle Fire Department","61","60.36","R","Active"
"White","Male","Seattle Fire Department","38","65.16","R","Active"
"White","Female","Human Services","40","53.48","R","Active"
"White","Male","Seattle Police Department","56","123.97","R","Active"
"Black or African American","Male","Seattle City Light","49","103.22","R","Active"
"White","Male","Seattle Public Utilities","37","65.33","R","Active"
"White","Male","Parks and Recreation Department","35","32.64","R","Active"
"White","Male","Seattle Police Department","34","76.46","R","Active"
"White","Male","Housing Office","50","55.19","R","Leave with Pay"
"Asian","Male","Seattle Public Library","44","44.99","R","Active"
"White","Male","Seattle Public Utilities","51","82.38","R","Active"
"White","Male","Seattle Police Department","50","76.46","R","Active"
"Black or African American","Female","Seattle Public Utilities","65","44.92","R","Leave with Pay"
"White","Male","Seattle Fire Department","52","55.06","R","Active"
"White","Female","Construction and Inspections","39","72.34","R","Active"
"Black or African American","Female","Seattle Municipal Courts","71","42.85","R","Active"
"White","Female","Seattle City Light","46","82.80","R","Active"
"White","Male","Finance and Administrative Service","47","44.52","R","Leave with Pay"
"White","Male","Seattle City Light","53","72.34","R","Active"
"White","Male","Seattle Police Department","37","76.46","R","Active"
"White","Male","Seattle Department of Transportation","35","79.77","R","Active"
"Not Specified","Non-Specified","Seattle City Light","41","77.36","R","Active"
"Asian","Male","Construction and Inspections","38","78.67","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","46","77.36","R","Active"
"White","Female","Community Safety and Communication Center","37","53.73","R","Active"
"White","Female","Seattle City Light","46","22.48","R","Active"
"Not Specified","Male","Seattle Public Utilities","45","94.12","R","Active"
"White","Male","Seattle City Light","41","77.36","R","Active"
"Asian","Male","Finance and Administrative Service","35","44.52","R","Leave with Pay"
"Asian","Male","Information Technology","53","81.41","R","Active"
"White","Female","Legislative Department","49","60.25","R","Active"
"White","Female","Seattle Public Utilities","64","65.54","R","Active"
"Asian","Male","Parks and Recreation Department","63","37.95","R","Active"
"White","Male","Seattle Center","58","22.48","R","Active"
"White","Male","Seattle Public Utilities","36","87.31","R","Active"
"Asian","Female","Finance and Administrative Service","53","43.09","R","Active"
"Asian","Male","Seattle Fire Department","43","55.06","R","Active"
"Two or More Races","Female","Seattle Police Department","26","70.46","R","Active"
"White","Male","Seattle City Light","33","42.07","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Fire Department","40","59.18","R","Active"
"Asian","Female","Seattle Public Utilities","42","46.43","R","Active"
"White","Male","Seattle City Light","34","100.13","R","Active"
"White","Male","Seattle Public Utilities","64","48.38","R","Active"
"White","Female","Finance and Administrative Service","62","22.48","R","Active"
"Asian","Male","Seattle Police Department","48","37.18","R","Active"
"White","Male","Seattle Fire Department","44","59.56","R","Active"
"White","Male","Seattle City Light","53","87.02","R","Active"
"Asian","Female","Seattle City Light","56","43.09","R","Active"
"White","Male","Seattle Public Utilities","33","63.14","R","Active"
"Black or African American","Male","Seattle Fire Department","38","71.27","R","Active"
"Two or More Races","Female","Information Technology","48","55.19","R","Active"
"Two or More Races","Female","Parks and Recreation Department","39","34.08","T","Active"
"Black or African American","Female","Seattle Municipal Courts","66","102.87","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Department of Transportation","46","63.19","R","Active"
"Black or African American","Male","Seattle City Light","63","92.07","R","Active"
"White","Male","Parks and Recreation Department","30","46.81","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle City Light","37","30.30","R","Leave with Pay"
"Asian","Female","Seattle Public Library","28","34.01","R","Active"
"Two or More Races","Female","Seattle Public Utilities","62","75.42","R","Active"
"Black or African American","Male","Seattle Public Library","58","37.29","R","Active"
"Asian","Male","Parks and Recreation Department","18","26.92","T","Active"
"Asian","Male","Seattle Center","43","26.92","T","Active"
