"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"White","Female","Seattle Public Utilities","63","82.49","R","Active"
"White","Male","Construction and Inspections","49","61.68","R","Active"
"Asian","Female","Seattle Public Utilities","51","39.18","R","Active"
"Black or African American","Male","Construction and Inspections","58","72.31","R","Active"
"White","Male","Seattle Police Department","39","76.46","R","Active"
"Asian","Male","Seattle Public Utilities","59","46.81","R","Active"
"White","Male","Seattle Fire Department","57","60.98","R","Active"
"White","Female","Seattle Public Utilities","49","74.86","R","Active"
"White","Male","Seattle Police Department","39","68.58","R","Active"
"Asian","Female","Housing Office","61","62.90","R","Active"
"Asian","Male","Construction and Inspections","26","39.18","R","Active"
"White","Male","Seattle Municipal Courts","32","41.66","R","Active"
"Black or African American","Female","Neighborhoods","33","61.48","R","Active"
"White","Female","Parks and Recreation Department","62","65.40","R","Active"
"Black or African American","Female","Construction and Inspections","37","43.09","R","Active"
"White","Female","Finance and Administrative Service","64","51.24","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","47","92.84","R","Active"
"Black or African American","Male","Parks and Recreation Department","54","37.95","R","Active"
"White","Female","Parks and Recreation Department","64","40.31","R","Active"
"White","Female","Seattle Center","72","45.05","T","Active"
"Black or African American","Male","Education and Early Learning","34","68.03","R","Active"
"White","Male","Seattle Center","41","45.05","T","Active"
"White","Male","Parks and Recreation Department","56","45.64","R","Active"
"Asian","Male","Finance and Administrative Service","36","37.47","R","Active"
"White","Male","Seattle Fire Department","29","46.31","R","Active"
"Black or African American","Male","Seattle Public Utilities","59","105.05","R","Active"
"Not Specified","Male","Law Department","57","91.61","R","Active"
"White","Male","Seattle Fire Department","60","60.95","R","Active"
"Not Specified","Male","Seattle Police Department","31","77.57","R","Active"
"Asian","Female","Seattle Public Utilities","31","51.24","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","44","74.86","R","Active"
"Asian","Female","Seattle City Light","45","89.43","R","Active"
"White","Male","Seattle Fire Department","57","68.05","R","Active"
"White","Female","Seattle Police Department","29","76.46","R","Active"
"Not Specified","Female","Parks and Recreation Department","38","46.97","R","Active"
"White","Female","Human Services","39","45.95","R","Active"
"White","Male","Seattle City Light","60","42.07","R","Active"
"Black or African American","Male","Construction and Inspections","38","70.40","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","39","81.48","R","Active"
"Asian","Male","Seattle City Light","62","63.54","R","Active"
"Asian","Male","Information Technology","38","73.81","R","Leave with Pay"
"American Indian or Alaska Native","Male","Parks and Recreation Department","42","55.19","R","Active"
"Asian","Female","Finance and Administrative Service","51","43.09","R","Active"
"Asian","Female","Seattle Public Utilities","73","41.31","R","Active"
"White","Female","Community Safety and Communication Center","32","51.73","R","Active"
"White","Male","Civil Rights Office","40","58.79","R","Active"
"White","Male","Seattle Public Utilities","60","82.88","R","Active"
"Hispanic or Latino/a/x","Female","Office of Labor Standards","41","57.31","R","Active"
"White","Male","Seattle Police Department","39","82.30","R","Leave Of Absence"
"Asian","Female","Seattle Public Utilities","56","55.19","R","Active"
"White","Male","Seattle Police Department","55","76.46","R","Active"
"Two or More Races","Female","Seattle Police Department","41","55.19","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","58","70.35","R","Active"
"White","Male","Seattle Center","67","51.83","T","Active"
"Black or African American","Female","Seattle City Light","73","38.70","R","Active"
"White","Male","Seattle City Light","35","22.48","R","Active"
"White","Male","Seattle City Light","69","77.36","T","Active"
"Black or African American","Male","Human Services","52","71.94","R","Active"
"Black or African American","Female","Construction and Inspections","58","70.40","R","Active"
"White","Male","Seattle Fire Department","39","51.46","R","Active"
"White","Male","Seattle Fire Department","59","59.56","R","Active"
"Asian","Male","Seattle Public Utilities","68","49.22","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Fire Department","51","59.18","R","Active"
"Black or African American","Female","Parks and Recreation Department","58","57.00","R","Active"
"Asian","Male","Parks and Recreation Department","41","49.73","R","Active"
"Not Specified","Female","Information Technology","56","87.00","R","Active"
"White","Male","Seattle Department of Transportation","40","56.78","R","Active"
"Black or African American","Male","Parks and Recreation Department","28","31.64","R","Active"
"American Indian or Alaska Native","Female","Seattle Department of Transportation","68","37.47","R","Active"
"Asian","Male","Seattle Police Department","33","75.35","R","Active"
"Asian","Female","Seattle City Light","37","54.01","R","Active"
"Black or African American","Female","Parks and Recreation Department","25","26.92","T","Active"
"White","Male","Parks and Recreation Department","49","38.89","R","Active"
"White","Male","Seattle Center","66","31.97","T","Active"
"White","Male","Finance and Administrative Service","64","55.56","R","Active"
"White","Male","Seattle Center","69","31.97","T","Active"
